Time,Open,High,Low,Close,Volume
2022-05-02 09:06:00,38901.99,38909.81,38895.05,38905.39,30.94877
2022-05-02 09:07:00,38905.39,38923.83,38905.39,38921.64,10.74931
2022-05-02 09:08:00,38921.63,38925.0,38890.77,38898.12,11.24074
2022-05-02 09:09:00,38898.12,38898.33,38883.61,38883.62,8.6874
2022-05-02 09:10:00,38883.63,38907.79,38883.62,38907.54,14.48947
2022-05-02 09:11:00,38907.54,38913.91,38900.49,38910.98,14.99781
2022-05-02 09:12:00,38910.98,38946.44,38910.98,38940.07,18.53038
2022-05-02 09:13:00,38940.07,38946.43,38923.47,38924.78,17.5243
2022-05-02 09:14:00,38924.79,38926.56,38905.31,38905.32,6.909
2022-05-02 09:15:00,38905.31,38925.68,38905.31,38925.68,11.75508
2022-05-02 09:16:00,38925.67,38925.68,38910.0,38922.01,11.1419
2022-05-02 09:17:00,38922.02,38939.15,38921.61,38939.15,13.17735
2022-05-02 09:18:00,38939.14,38958.31,38939.14,38947.28,11.67074
2022-05-02 09:19:00,38947.28,38948.66,38916.88,38916.88,9.44543
2022-05-02 09:20:00,38916.88,38923.86,38905.32,38921.91,9.85542
2022-05-02 09:21:00,38921.9,38925.0,38915.36,38915.38,15.85062
2022-05-02 09:22:00,38915.37,38934.77,38915.37,38934.16,11.55088
2022-05-02 09:23:00,38934.17,38938.93,38932.43,38938.92,9.00776
2022-05-02 09:24:00,38938.92,38957.4,38938.92,38946.64,17.75215
2022-05-02 09:25:00,38946.63,38983.48,38946.63,38983.47,18.08577
2022-05-02 09:26:00,38983.47,38997.64,38981.2,38992.4,33.29458
2022-05-02 09:27:00,38992.4,38995.28,38980.55,38980.6,8.57131
2022-05-02 09:28:00,38980.6,38991.08,38980.6,38987.27,18.95929
2022-05-02 09:29:00,38987.27,38987.27,38978.02,38978.05,7.15495
2022-05-02 09:30:00,38978.04,38995.45,38978.04,38991.29,11.87789
2022-05-02 09:31:00,38991.29,38991.3,38980.0,38986.0,7.01489
2022-05-02 09:32:00,38986.0,38986.28,38985.99,38986.23,2.97332
2022-05-02 09:33:00,38986.23,38993.5,38980.0,38980.04,13.71225
2022-05-02 09:34:00,38980.04,38984.93,38973.15,38980.42,8.37406
2022-05-02 09:35:00,38980.43,38992.13,38972.18,38975.1,18.88959
2022-05-02 09:36:00,38975.1,38975.11,38955.46,38971.99,15.79529
2022-05-02 09:37:00,38972.0,38997.64,38971.99,38996.42,15.78466
2022-05-02 09:38:00,38996.42,39019.98,38991.21,39019.98,37.24892
2022-05-02 09:39:00,39019.97,39075.0,39019.97,39054.9,69.82525
2022-05-02 09:40:00,39054.91,39054.91,39022.46,39022.47,16.21339
2022-05-02 09:41:00,39022.47,39022.47,39000.04,39007.97,11.67767
2022-05-02 09:42:00,39007.96,39007.97,38990.7,38995.19,9.35486
2022-05-02 09:43:00,38995.2,38997.0,38974.1,38974.11,10.55702
2022-05-02 09:44:00,38974.11,38974.11,38941.67,38941.67,17.09545
2022-05-02 09:45:00,38941.67,38954.95,38916.18,38916.18,20.97228
2022-05-02 09:46:00,38916.19,38916.19,38865.24,38865.25,33.11479
2022-05-02 09:47:00,38865.24,38868.13,38837.32,38845.17,41.89241
2022-05-02 09:48:00,38845.17,38845.17,38800.0,38825.46,47.71035
2022-05-02 09:49:00,38825.47,38859.49,38823.84,38830.29,30.4212
2022-05-02 09:50:00,38830.29,38870.0,38826.83,38869.99,39.06227
2022-05-02 09:51:00,38869.99,38880.43,38855.45,38880.42,17.52509
2022-05-02 09:52:00,38880.42,38882.67,38851.14,38851.65,25.20193
2022-05-02 09:53:00,38851.66,38851.66,38823.19,38823.2,19.8408
2022-05-02 09:54:00,38823.2,38839.16,38812.52,38838.24,19.40646
2022-05-02 09:55:00,38838.25,38846.92,38822.82,38831.79,15.25475
2022-05-02 09:56:00,38831.78,38832.38,38815.97,38828.17,12.72166
2022-05-02 09:57:00,38828.17,38840.0,38827.22,38827.23,11.88499
2022-05-02 09:58:00,38827.23,38827.23,38774.99,38804.41,58.7787
2022-05-02 09:59:00,38804.41,38804.41,38772.81,38780.01,37.01005
2022-05-02 10:00:00,38780.0,38804.96,38740.37,38804.96,61.42361
2022-05-02 10:01:00,38804.96,38809.17,38756.71,38773.71,51.04651
2022-05-02 10:02:00,38773.71,38796.49,38764.59,38774.15,40.25486
2022-05-02 10:03:00,38774.16,38779.99,38764.41,38772.82,11.65424
2022-05-02 10:04:00,38772.83,38779.99,38764.41,38764.42,14.20076
2022-05-02 10:05:00,38764.41,38810.0,38761.22,38800.01,33.6228
2022-05-02 10:06:00,38800.0,38814.45,38800.0,38814.41,13.26982
2022-05-02 10:07:00,38814.4,38814.41,38793.68,38795.97,9.23506
2022-05-02 10:08:00,38795.98,38804.73,38790.01,38800.01,18.32009
2022-05-02 10:09:00,38800.0,38805.12,38787.69,38795.62,20.11895
2022-05-02 10:10:00,38795.62,38837.98,38791.02,38824.56,20.64965
2022-05-02 10:11:00,38824.55,38824.56,38780.0,38787.68,29.79589
2022-05-02 10:12:00,38787.68,38812.91,38787.67,38807.85,9.36646
2022-05-02 10:13:00,38807.85,38808.54,38776.38,38779.05,33.13119
2022-05-02 10:14:00,38779.06,38792.03,38779.05,38791.98,10.60794
